Idp,Vel:0,Vel:1,Vel:2,Rhop,Type,Mk,Points:0,Points:1,Points:2
480,0,0,0,1000,0,11,-0.2975,0,0
481,0,0,0,1000,0,11,-0.295,0,0
482,0,0,0,1000,0,11,-0.2925,0,0
483,0,0,0,1000,0,11,-0.29,0,0
484,0,0,0,1000,0,11,-0.2875,0,0
485,0,0,0,1000,0,11,-0.285,0,0
486,0,0,0,1000,0,11,-0.2825,0,0
487,0,0,0,1000,0,11,-0.28,0,0
488,0,0,0,1000,0,11,-0.2775,0,0
489,0,0,0,1000,0,11,-0.275,0,0
490,0,0,0,1000,0,11,-0.2725,0,0
491,0,0,0,1000,0,11,-0.27,0,0
492,0,0,0,1000,0,11,-0.2675,0,0
493,0,0,0,1000,0,11,-0.265,0,0
494,0,0,0,1000,0,11,-0.2625,0,0
495,0,0,0,1000,0,11,-0.26,0,0
496,0,0,0,1000,0,11,-0.2575,0,0
497,0,0,0,1000,0,11,-0.255,0,0
498,0,0,0,1000,0,11,-0.2525,0,0
499,0,0,0,1000,0,11,-0.25,0,0
500,0,0,0,1000,0,11,-0.2475,0,0
501,0,0,0,1000,0,11,-0.245,0,0
502,0,0,0,1000,0,11,-0.2425,0,0
503,0,0,0,1000,0,11,-0.24,0,0
504,0,0,0,1000,0,11,-0.2375,0,0
505,0,0,0,1000,0,11,-0.235,0,0
506,0,0,0,1000,0,11,-0.2325,0,0
507,0,0,0,1000,0,11,-0.23,0,0
508,0,0,0,1000,0,11,-0.2275,0,0
509,0,0,0,1000,0,11,-0.225,0,0
510,0,0,0,1000,0,11,-0.2225,0,0
511,0,0,0,1000,0,11,-0.22,0,0
512,0,0,0,1000,0,11,-0.2175,0,0
513,0,0,0,1000,0,11,-0.215,0,0
514,0,0,0,1000,0,11,-0.2125,0,0
515,0,0,0,1000,0,11,-0.21,0,0
516,0,0,0,1000,0,11,-0.2075,0,0
517,0,0,0,1000,0,11,-0.205,0,0
518,0,0,0,1000,0,11,-0.2025,0,0
519,0,0,0,1000,0,11,-0.2,0,0
520,0,0,0,1000,0,11,-0.1975,0,0
521,0,0,0,1000,0,11,-0.195,0,0
